,2021년07월_남_총인구수,2021년07월_남_연령구간인구수,남0,남1,남2,남3,남4,남5,남6,남7,남8,남9,남10,남11,남12,남13,남14,남15,남16,남17,남18,남19,남20,남21,남22,남23,남24,남25,남26,남27,남28,남29,남30,남31,남32,남33,남34,남35,남36,남37,남38,남39,남40,남41,남42,남43,남44,남45,남46,남47,남48,남49,남50,남51,남52,남53,남54,남55,남56,남57,남58,남59,남60,남61,남62,남63,남64,남65,남66,남67,남68,남69,남70,남71,남72,남73,남74,남75,남76,남77,남78,남79,남80,남81,남82,남83,남84,남85,남86,남87,남88,남89,남90,남91,남92,남93,남94,남95,남96,남97,남98,남99,남100,2021년07월_여_총인구수,2021년07월_여_연령구간인구수,여0,여1,여2,여3,여4,여5,여6,여7,여8,여9,여10,여11,여12,여13,여14,여15,여16,여17,여18,여19,여20,여21,여22,여23,여24,여25,여26,여27,여28,여29,여30,여31,여32,여33,여34,여35,여36,여37,여38,여39,여40,여41,여42,여43,여44,여45,여46,여47,여48,여49,여50,여51,여52,여53,여54,여55,여56,여57,여58,여59,여60,여61,여62,여63,여64,여65,여66,여67,여68,여69,여70,여71,여72,여73,여74,여75,여76,여77,여78,여79,여80,여81,여82,여83,여84,여85,여86,여87,여88,여89,여90,여91,여92,여93,여94,여95,여96,여97,여98,여99,여100
서울특별시,4645177,4645177,22767,24055,26482,27528,29884,33682,34994,34551,36380,37425,38236,36203,36518,40316,38881,37137,37914,41389,41078,44277,51882,54726,57092,62325,66628,73207,77324,81993,85321,84820,77998,75654,73380,68608,68249,68640,67340,71038,74490,78806,79223,77155,70391,67164,68603,67456,72276,78160,79690,81766,85250,80585,81298,74826,70317,70571,70650,65958,74381,67849,77335,73859,68410,65551,60623,57673,59551,48014,45769,45049,34571,38997,37421,37040,36248,25313,27706,25256,27663,26956,21230,18102,16215,13693,11457,9718,7803,5861,4682,3649,2607,2047,1786,1233,872,546,408,326,352,182,616,4912976,4912976,21427,22629,24341,26130,28714,32432,33283,32596,34665,35635,36269,34365,34794,37794,36744,34754,35712,38973,39520,44078,53711,59289,62749,70756,76569,81591,82105,84809,86993,86594,79105,75236,72845,69347,68791,68726,67363,70256,74572,78990,78175,79063,72000,68995,70054,68915,73825,79724,82112,82607,86654,82049,83956,78258,72591,71224,73809,68671,76203,70645,84808,82544,74722,71357,68089,64806,68151,54740,51947,51192,39586,45253,44184,43794,43619,30810,33301,31684,33610,33440,27082,24288,22950,20256,18498,16407,14345,11937,9908,8430,6736,5900,5051,3931,2899,2011,1380,1039,1007,641,1861
부산광역시,1645794,1645794,7300,8333,9108,10479,11662,13163,13634,13449,13918,14363,14346,13243,13109,13989,13377,12708,12936,14343,14468,15375,18462,19818,20247,21610,22786,23706,23291,23142,23480,22977,20925,20947,19791,18811,18766,19636,19816,21524,23817,26080,27011,27304,24454,23559,23326,22746,24785,26900,27052,27558,28656,27653,28857,27102,25852,26505,25309,24353,29217,27423,32286,30445,28460,27515,26595,24926,25982,21127,19907,20060,15878,16965,16257,15760,14578,9749,11554,10390,11450,10476,8431,7347,6459,5205,4496,3565,2878,2267,1649,1276,900,638,561,386,236,142,96,70,64,61,150,1715987,1715987,6819,7849,8794,9913,11162,12465,12976,12652,13157,13603,13857,12314,12463,13362,12497,11854,12121,13369,13369,14559,17448,18965,18923,20496,21178,21122,20893,21341,21148,21455,19409,19141,18557,18015,18017,18295,18977,20728,23331,25392,26243,26376,23967,22780,22371,22392,24771,26542,27461,27518,29300,28455,30001,28828,27586,27380,27558,25851,30803,29792,36324,34287,31442,29871,29232,28217,29063,23162,23037,22706,18110,19822,19569,18796,17519,11271,14216,13395,14781,14177,12234,11087,10262,8694,8024,7159,6335,5039,4190,3677,2679,2291,1969,1623,1066,713,522,342,323,194,606
대구광역시,1181351,1181351,5342,6372,7059,7857,8920,9957,10359,10141,10843,11188,11339,10517,10723,11625,11028,10795,11077,12293,12456,13267,15329,16558,15839,16845,17096,17756,17244,17113,17105,16986,15281,15394,14661,13654,13751,14402,14003,14896,16405,17842,18598,18327,17112,16692,17483,17307,18646,20117,20652,20923,21804,21259,22076,21544,20093,20165,19713,18222,21017,19748,22128,20326,18713,16742,16285,15190,14923,12076,12212,12184,9044,9980,9938,9053,8249,5108,6065,6218,6948,6498,5034,4521,4103,3355,3021,2523,2128,1592,1251,980,598,401,358,264,170,98,81,48,37,23,69,1214398,1214398,5020,5976,6558,7572,8496,9521,9911,9871,10192,10738,10583,9806,9945,10874,10516,9850,10122,11066,11008,11687,13752,14728,13990,15116,15593,15340,14746,14730,14670,14515,13115,12981,12280,11721,12379,12601,12838,14359,16862,18165,18591,18798,17443,16953,17554,17603,19210,21019,21708,21686,22513,22284,23129,22325,21111,20666,20895,19177,21344,20432,23794,22465,19873,17400,17523,16616,16996,13658,14539,14342,10730,11464,12246,11294,10585,6310,8293,8943,9774,9193,7957,7321,6772,6134,5472,5043,4363,3679,2932,2496,1932,1533,1221,980,716,436,321,204,179,132,303
인천광역시,1470985,1470985,7506,8510,9554,10125,11190,12654,13232,12930,13583,14236,14658,13361,13568,14400,13932,13114,13087,14114,14113,15266,17319,18525,18375,19129,20275,21163,21994,22702,23216,22909,21087,20424,19528,18472,18533,19626,19751,21141,23358,25505,25921,25925,23533,22801,22699,22482,24187,25718,26380,26331,27449,26051,26837,25012,24172,24534,25289,23290,26992,24493,27997,26012,23204,21437,19340,17616,17764,13745,12689,12680,8956,10660,9986,9799,9476,6397,6778,6386,6675,6419,4967,4297,4097,3449,2836,2522,2069,1521,1253,937,666,479,476,324,239,127,96,77,97,51,128,1466455,1466455,7042,7976,8984,9453,10760,11963,12714,12211,13019,13455,13756,12719,12860,13818,13079,12517,12221,13421,13323,14220,16197,16899,16883,18331,19087,19689,19615,20305,20868,21069,19198,18447,17808,17332,17468,18359,18350,19912,22318,24020,24334,24478,22194,21954,21381,21014,23396,24746,25772,25282,26938,25847,27461,26117,24454,24585,25695,23038,26071,24163,27817,26137,23000,21568,19615,18122,18665,14539,13347,13431,9667,11197,11216,10889,11320,7680,8360,8089,9201,9110,7574,6872,6820,6055,5559,5188,4547,3789,3322,2834,2280,1934,1621,1192,933,654,516,304,296,192,417
광주광역시,713626,713626,3864,4083,4613,5275,5929,6599,6985,6928,7557,7650,7903,7509,7423,8128,7947,7448,7577,8336,8543,8912,10512,10968,10622,11218,11265,11315,10915,10816,10614,10196,9202,8915,8344,8106,8300,8712,8829,9916,11136,11920,11577,11845,11161,10825,11481,10908,11671,12971,12903,12609,13517,12496,12879,12228,11401,11755,10745,10124,11345,9716,11309,10898,9577,8924,7904,7423,7540,5840,5393,5765,4932,5037,5054,4753,4701,3406,3577,3061,3588,3659,2647,2360,2138,1849,1548,1234,1083,844,592,487,331,299,226,146,106,72,39,25,28,16,28,728856,728856,3725,4070,4495,4913,5543,6444,6481,6673,6944,7232,7409,6964,7060,7522,7391,6947,7122,7580,7849,8299,9577,10070,10036,10213,10413,10165,10066,9648,9653,9532,8431,8027,7830,7713,8048,8409,8427,9499,10804,11980,11504,12084,11465,11150,11377,10926,11892,12923,13293,12895,13618,12671,13141,12493,11442,11795,11076,10134,11355,10064,11984,11825,10482,9681,8640,7800,8488,6685,6317,6632,5845,6084,6059,5933,5887,4102,4616,4116,4679,4982,4027,3692,3348,3157,2819,2471,2275,1972,1566,1276,1103,1034,728,523,433,290,199,107,193,99,205
대전광역시,726281,726281,3781,4023,4511,5106,5658,6328,6666,6489,6882,7227,7346,6805,6962,7562,7337,6921,7235,7840,7823,8370,9481,10024,10429,10969,11436,11704,11739,11631,11813,11293,10328,10208,9824,9488,9261,9410,9262,9786,10744,11490,11715,11424,10818,10669,10832,10742,11531,12845,12755,12872,13653,12972,13759,12358,11587,11073,11502,9948,11560,11055,12926,11790,10277,9757,9431,8629,8672,6810,6389,6370,4780,5491,5156,4782,4553,3153,3445,3338,3477,3604,2585,2277,2204,1957,1593,1312,1121,883,730,529,347,284,238,170,115,82,43,33,29,20,37,729019,729019,3523,3804,4368,4683,5510,5930,6251,6216,6556,6626,6955,6520,6502,7112,6925,6517,6608,7310,7252,7696,9250,9595,9858,10201,10612,10377,10070,10073,10083,10017,9267,8615,8313,8172,8418,8593,8641,9264,10254,11475,11585,11432,10983,10806,10990,10875,11580,12905,13143,12620,13533,12620,13959,12804,11588,10816,11862,10012,11479,11131,13721,12512,10918,10123,9522,9181,9450,7581,6693,6951,5289,6138,5849,5415,5280,3630,4423,4332,4732,4874,3798,3540,3512,3163,2828,2717,2375,1958,1631,1400,1023,911,778,631,417,273,174,156,140,73,172
울산광역시,578511,578511,3084,3420,3877,4333,4908,5502,5863,5620,5870,6032,6183,5733,5749,5973,5840,5342,5414,5891,5806,6177,7271,7703,7357,7753,7988,8258,8322,8099,8427,8149,7457,7685,7462,7035,7143,7337,7392,8079,9013,9861,10128,10136,9177,9002,8906,8442,9075,9556,9909,10149,10583,10348,10944,10683,10398,11031,10608,9456,10863,9997,11460,10141,9254,8328,7706,7027,7022,5618,5253,5057,4017,4031,3891,3660,3133,1980,2338,2007,2359,1965,1536,1364,1217,897,781,604,543,437,320,235,151,100,99,53,40,28,14,18,14,3,11,547216,547216,2953,3419,3637,4088,4612,5133,5427,5411,5665,5574,5719,5175,5219,5729,5301,4908,4825,5182,5094,5286,5833,6095,5724,6118,6210,6135,6123,6224,6385,6536,6270,6126,5965,5886,6237,6538,6609,7552,8499,9303,9275,9451,8587,8288,8062,8110,8910,9689,9927,10172,10742,10584,11281,10718,10310,10118,9960,8895,9873,9202,11139,9853,8882,8160,7607,7054,7026,5646,5345,5075,3962,4079,3949,3758,3336,2110,2722,2633,2990,2722,2241,2217,1949,1829,1661,1517,1318,1149,941,786,610,480,425,322,254,178,137,79,77,47,72
세종특별자치시,181996,181996,1692,1830,2104,2254,2385,2692,2802,2640,2790,2825,2886,2553,2555,2503,2314,2138,1950,1948,1742,1716,1876,1952,1724,1798,1761,1949,1935,2046,2201,2347,2264,2516,2561,2670,2870,2976,3056,3232,3576,4130,3980,4153,3662,3484,3574,3265,3522,3602,3442,3385,3348,2923,2966,2548,2276,2081,2290,1914,2223,1951,2347,2083,1871,1739,1585,1567,1549,1221,1046,1102,784,945,905,749,720,491,547,500,561,552,418,361,352,291,280,239,204,171,115,82,70,66,38,28,25,12,10,4,6,4,8,182368,182368,1693,1731,2003,2206,2328,2558,2631,2529,2656,2646,2623,2466,2524,2588,2329,2108,1962,1960,1798,1677,1691,1689,1595,1588,1651,1788,1834,2005,2283,2552,2552,2599,2579,2814,2997,2981,3167,3437,3929,4270,4166,4095,3887,3610,3438,3244,3285,3316,3103,2806,2946,2488,2654,2354,2139,2026,2059,1784,2011,1897,2299,2112,1901,1725,1643,1548,1608,1299,1095,1128,852,981,943,800,832,573,658,678,729,754,665,595,596,543,471,506,466,388,346,276,228,204,186,138,93,43,39,25,32,17,28
경기도,6801008,6801008,38607,42784,47809,51567,57481,63967,66746,65005,68361,70674,71826,66155,66617,71531,67544,63336,63117,68070,68912,74763,83953,87424,86604,90486,94163,98649,100216,102349,104841,104235,95552,93132,91592,88804,89426,93401,93703,101236,112240,121507,122657,121669,111475,108203,109575,107450,114038,123086,123858,125594,130251,122812,125514,114592,109976,110292,110383,100095,113788,102278,117548,108094,96943,90442,80102,74146,74602,58474,54432,53747,38330,43067,41602,41840,40393,28336,30498,27465,29655,29287,23582,20500,18827,16331,14113,11704,9842,7507,5803,4701,3286,2626,2117,1439,965,656,450,400,392,243,550,6711859,6711859,36945,41074,44960,49332,54055,61505,63671,62095,65549,67226,68216,62862,63484,68015,64290,59834,60335,64714,64081,68618,77954,80522,79340,84022,86736,88125,87540,89055,90970,92126,86334,84354,83614,82966,84749,87830,89018,96085,106764,116194,117131,117553,108006,104814,105037,103760,110671,119766,120842,120250,126375,119114,125132,115752,108085,105488,107297,95941,107278,98804,115733,106958,95455,88350,80745,75555,78007,61189,57678,57482,42393,48072,46781,47240,47683,33597,37881,36442,39394,39807,33586,30905,29668,26767,24801,22603,19929,16668,13928,11728,9199,8081,6670,5173,3776,2663,1935,1327,1241,752,1762
강원도,773232,773232,3708,4259,4393,4713,5138,5687,5771,5940,6285,6647,6878,6506,6504,7033,6861,6572,6830,7428,7441,8083,9496,10190,9969,10449,10454,10266,9885,9803,9694,9294,8509,8500,8062,7708,7708,8167,8187,8695,9774,10579,10657,10632,10218,10260,10293,10417,11464,12965,13016,13167,14052,13665,14318,13944,13148,13557,12548,12311,14860,13697,16413,15456,14387,14149,13342,12054,12487,9979,8872,9524,5974,6148,6622,7019,6735,5175,5990,5327,5602,5539,4819,4324,3852,3453,2831,2351,1732,1358,1073,781,627,515,395,261,186,146,131,110,84,40,114,762908,762908,3623,4035,4261,4487,4798,5300,5698,5543,6070,6224,6591,6116,6049,6623,6223,6156,6215,6757,6879,7276,8148,8527,8022,7861,7626,7516,7270,7257,7465,7683,6969,6933,6988,6815,7084,7242,7486,8116,9382,10331,10273,10410,9953,9904,9825,10099,10764,12180,12218,11737,12836,12608,13313,12743,12314,12604,12221,11777,13975,13268,16658,15996,14344,13925,12795,11873,12359,10106,9248,10018,6842,7026,7444,7851,7743,6157,7455,7347,7676,7981,7190,6751,6315,5725,4960,4566,4066,3432,2823,2339,1903,1795,1463,1136,838,627,447,279,236,155,351
충청북도,810258,810258,4158,4566,5149,5590,6163,6832,6806,6759,7391,7660,7797,7295,7427,7950,7444,7123,7271,7947,7867,8335,9918,10160,10287,10404,10798,11308,11388,11813,11881,11493,10218,9905,9533,9133,9518,9799,9685,10588,11549,12360,12140,12334,11596,11424,11382,11503,12299,13739,13689,13350,14371,13890,15286,13991,13818,13890,13904,11609,14364,13629,17060,14186,13531,13197,12295,11348,10842,9293,8364,8826,5969,6300,6482,6361,5819,4140,4815,4419,5073,4963,3977,3497,3355,2878,2533,2210,1811,1358,1032,733,512,410,396,229,172,101,90,53,45,39,68,787243,787243,3990,4295,4786,5463,5766,6444,6642,6778,7047,7268,7411,7003,6722,7420,7055,6637,6665,7139,7147,7569,8709,8875,8488,8780,8868,8909,8676,8639,8826,8490,8187,8021,7889,8137,8304,8566,8766,9481,10822,11666,11144,11517,10580,10637,10564,10793,11674,12907,12697,12231,13305,13054,14837,13536,12965,12826,13115,11031,13105,12933,16309,14358,13132,12604,11989,11032,11203,9480,8554,9302,6409,6772,6871,6902,6826,4880,6111,6172,7136,7493,5970,5729,5686,5106,4810,4572,4056,3354,2820,2247,1728,1485,1207,887,698,469,290,192,224,133,248
충청남도,1082654,1082654,5788,6472,7027,7654,8449,9401,9767,9832,10238,10786,11042,10365,10275,11043,10457,9869,9822,10272,10322,10950,12635,13204,12684,13005,13001,13245,13681,13664,13961,13850,12848,13019,12957,12839,13163,13587,13672,14711,16633,17868,18064,17824,16514,16425,16294,15851,17105,18749,18769,18535,19878,18314,19961,18016,17395,15973,18766,15293,18189,17175,21138,19003,16403,15296,14557,14198,14425,11326,10254,11189,8575,10066,9545,9058,8655,5722,6303,6316,6916,7132,5305,4897,5004,4345,4040,3549,2976,2397,1857,1503,936,714,600,406,298,184,128,79,74,46,91,1035551,1035551,5284,6090,6822,7392,8020,9076,9402,9246,9934,10168,10191,9697,9488,10332,9626,9300,9101,9615,9497,10022,11231,11327,10587,10511,10574,10288,10051,10535,11135,11086,10304,10444,10675,11086,11468,11667,11816,13051,14679,15781,15575,15988,14454,14039,14144,14460,15334,16336,16323,15588,17009,15892,17648,16176,15351,14254,16667,13806,16237,15638,19711,18559,16217,14950,14157,14063,14691,11840,10700,11745,9146,10837,10347,9894,9528,6246,8001,8711,9743,10751,8046,8077,8628,7692,7304,6985,6240,5153,4432,3831,2696,2234,1936,1397,993,737,472,325,373,217,428
전라북도,892487,892487,3827,4368,4802,5425,6101,7012,7510,7515,8133,8496,8771,8199,8454,8957,8705,8319,8736,9192,9487,10086,11541,12038,11864,12038,11712,11771,11189,10953,10438,9833,9206,9048,8496,8308,8449,9031,8993,10237,11436,12166,12400,12761,12106,12379,12585,12589,13666,15640,15506,15695,16898,15602,16747,15677,15111,15565,15115,13422,16094,14421,17552,16842,14425,13825,13107,12362,13148,10492,9201,9989,8856,9938,8229,8525,9151,6033,5941,5474,6496,7250,4929,4655,4511,3857,3360,3006,2617,2007,1526,1157,849,648,553,408,250,127,111,58,78,37,86,901415,901415,3822,4141,4648,5224,5738,6595,7199,7075,7560,7988,8509,7745,7814,8395,8148,7764,7930,8608,8734,9190,10508,10657,9962,9904,9654,9370,9207,9064,9016,8815,8082,7939,7781,7786,8047,8634,8741,9782,10752,11854,11861,12081,11554,11845,11805,12027,12919,14648,14587,14172,15338,14225,15422,14465,14155,14344,13985,12574,14834,13824,17517,17298,14710,13650,12920,12459,13763,11028,9763,10756,9570,11192,9608,9995,10500,7240,7835,7771,9835,11298,7914,7933,7874,7271,6732,6368,5732,4775,4105,3404,2634,2251,1800,1488,1050,604,436,269,376,198,446
전라남도,925751,925751,4373,5056,5414,5810,6295,7036,7323,7369,7932,8239,8613,8194,7948,8684,8228,7891,7988,8971,8933,9762,11477,12004,11468,11384,11318,11359,10868,10624,10197,9676,8818,8613,8246,8064,8362,8910,9461,10193,11803,12852,12734,13078,12302,12273,12753,12639,13474,15236,15791,15936,17287,16357,17441,17106,16414,17677,16499,15415,17819,15865,18566,18154,16613,15479,14107,13031,13697,10748,10125,11304,9854,10269,9864,9632,9526,6615,7220,6004,7859,7824,6256,5829,5154,4364,3851,3031,2603,2063,1626,1250,881,728,580,380,240,166,115,99,80,47,65,913947,913947,4283,4785,5236,5461,5907,6728,6976,7082,7762,8112,8242,7525,7568,8183,7755,7368,7562,8271,8204,8587,9498,9683,9045,8790,8620,8485,8052,8125,8335,8204,7576,7514,7286,7387,7842,8292,8463,9597,10489,11350,11235,11604,11248,10912,11130,10900,11740,13053,13684,13186,14485,13958,14707,14708,13681,14677,14292,13692,15463,14286,17666,17634,15930,14398,13674,12526,13767,10909,10518,11992,10529,11041,10752,11041,11526,8214,9952,8900,12231,12399,10786,10462,9862,9252,8447,7568,6648,5698,4664,4053,3274,3104,1981,1480,1136,796,537,395,539,263,532
경상북도,1326218,1326218,6069,6867,7768,8508,9228,10518,10994,10778,11517,11899,11988,10927,11115,11908,11522,11072,11261,12335,11950,13298,15621,16565,15686,16085,15954,16307,16010,15794,15511,15456,14028,14415,14041,13762,13705,14649,14540,15655,17700,19095,19569,19735,18132,17755,18085,18296,19801,21696,22047,22433,23902,23291,24498,23620,22793,23796,22984,21756,25071,23641,28189,26162,23788,22079,21869,20253,19861,16715,16991,16738,12342,13734,14164,13111,11666,6711,8457,8614,10214,9544,7538,7182,6578,5403,4768,4343,3544,2819,2105,1675,1138,814,627,485,331,191,149,93,84,51,96,1305431,1305431,5891,6641,7215,7922,8930,10007,10240,10214,10681,11031,11086,10212,10145,11081,10380,10005,10124,10725,10781,11540,12943,13201,12181,12064,11961,11761,11516,11609,11915,12281,11315,11407,11186,11473,12348,12708,12910,14360,16419,18043,17734,17990,16486,16367,16409,17010,18423,20323,20496,20074,21388,21317,22824,22386,21298,21392,21814,20263,23329,22550,27241,26471,23286,21206,21303,20279,20657,17690,18032,18284,13426,14697,15190,14296,13507,7857,11297,12834,15372,14753,12556,12248,12164,10644,9958,9386,8650,6796,5784,5065,3761,3060,2529,2020,1430,962,713,419,452,275,556
경상남도,1674003,1674003,7933,9224,10197,11766,13275,14917,15676,15902,16492,17211,17652,16273,16367,17509,16378,15621,15767,16994,16932,18123,20832,21990,20485,20720,21054,21013,20433,20231,20306,19734,18262,18599,18053,17448,17847,19499,19865,21883,24681,26643,27863,27969,25700,25124,24926,24977,27116,29189,30324,30156,31944,30776,32074,29804,29066,29498,28005,24907,30786,28176,33572,30617,27690,25996,24635,22708,23100,18307,17236,17438,13172,14555,13961,13607,12089,7521,9499,8304,8998,8659,7225,6435,5783,4751,4410,3599,3021,2363,1708,1402,960,686,641,365,290,164,101,75,62,42,89,1650732,1650732,7555,8570,9920,11000,12423,14198,14938,14885,15645,16213,16579,15175,15278,16458,15316,14286,14321,15170,15088,15619,17158,17604,16105,16345,16080,15960,15662,16039,16350,16647,15578,15626,15564,16036,16707,17646,18331,20565,23368,25330,26105,26335,24289,23553,23119,23768,25907,27810,28928,27857,29935,29346,30854,29127,27680,27305,27384,23763,28532,27520,33965,30467,27094,25339,24405,23386,23976,18732,18295,18524,14396,16016,15651,15249,14459,9025,12608,11876,13871,13978,12233,11842,11247,9651,9591,8673,7770,6589,5441,4800,3769,2988,2410,1763,1250,919,620,402,372,214,421
제주특별자치도,338978,338978,1954,2185,2448,2753,2983,3383,3499,3577,3708,3964,3934,3730,3616,3761,3672,3449,3498,3733,3605,3771,4285,4516,4206,4221,4308,4383,4288,4439,4443,4258,3765,3738,3502,3453,3607,3932,4025,4332,5032,5604,5692,5664,5296,5026,5410,5242,5851,6389,6359,6432,6824,6399,6388,6239,5629,5989,5481,5276,5874,5176,5476,5408,4903,4546,4181,3994,4048,2974,2751,2762,2428,2224,2523,2457,2297,1905,1849,1703,1748,1630,1442,1254,1153,1037,849,759,638,531,393,285,194,147,111,46,38,24,17,12,19,13,13,336898,336898,1811,2092,2335,2577,2779,3134,3359,3399,3575,3681,3739,3343,3417,3494,3490,3124,3047,3300,3346,3240,3811,3867,3727,3830,3781,3801,3909,3926,4073,3900,3551,3553,3426,3382,3587,3793,4040,4426,5114,5543,5575,5641,5223,4943,5019,4823,5165,5907,6046,6054,6346,5866,5904,5696,5086,5389,5076,4900,5431,5002,5427,5331,4776,4506,4168,4052,4275,3192,3003,2908,2626,2626,2790,2715,2739,2211,2229,2315,2246,2326,2207,2017,1990,1809,1699,1560,1438,1390,1249,989,728,735,506,385,275,191,144,91,294,135,191
